step,train_loss_live,val_loss_ema,waviness_cond_gap
2375,,0.312813,0.00092643
2625,,0.306259,0.00130241
2750,,0.302719,0.00108055
2875,,0.300299,0.00072073
3125,,0.296980,0.00025588
3250,,0.295977,0.00014781
3375,,0.294426,0.00004946
3625,,0.290085,-0.00039754
3750,,0.288104,-0.00029075
3875,,0.286090,-0.00005866
4125,,0.285039,0.00036514
4250,,0.283684,0.00071711
4375,,0.282017,0.00105422
4625,,0.278479,0.00220190
4750,,0.277637,0.00236809
4875,,0.276678,0.00225217
5125,,0.274257,0.00216474
5250,,0.273487,0.00233348
5375,,0.272455,0.00252066
5625,,0.270214,0.00280992
5750,,0.269971,0.00249934
5875,,0.269054,0.00250808
6125,,0.267808,0.00258987
6250,,0.266156,0.00276112
6375,,0.265243,0.00300645
6625,,0.263146,0.00291319
6750,,0.262102,0.00285236
6875,,0.261601,0.00278592
7125,,0.259860,0.00280742
7250,,0.259171,0.00268395
7375,,0.258424,0.00259696
7625,,0.256821,0.00271688
7750,,0.256326,0.00270278
7875,,0.255199,0.00274361
8125,,0.254425,0.00269337
8250,,0.254108,0.00295362
8375,,0.253677,0.00299419
8625,,0.253256,0.00307276
8750,,0.253007,0.00315062
8875,,0.252577,0.00311972
9125,,0.251712,0.00308252
9250,,0.251423,0.00298369
9375,,0.250929,0.00291586
9625,,0.249838,0.00308658
9750,,0.249166,0.00304297
9875,,0.248572,0.00307836
10125,,0.247706,0.00299852
10250,,0.247063,0.00281404
10375,,0.246564,0.00269988
10625,,0.245886,0.00260676
10750,,0.245631,0.00250762
10875,,0.245800,0.00248187
11125,,0.245209,0.00260277
11250,,0.244864,0.00246746
11375,,0.244439,0.00242633
11625,,0.243795,0.00211836
11750,,0.243418,0.00207260
11875,,0.243442,0.00207844
12125,,0.242899,0.00204288
12250,,0.242663,0.00204108
12375,,0.242218,0.00199869
12625,,0.241750,0.00195446
12750,,0.241316,0.00193583
12875,,0.240909,0.00193726
13125,,0.240352,0.00197322
13250,,0.239886,0.00200839
13375,,0.239416,0.00195143
13625,,0.239220,0.00197668
13750,,0.239043,0.00190963
13875,,0.238511,0.00187630
14125,,0.238566,0.00172645
14250,,0.238651,0.00171509
14375,,0.238576,0.00183698
14625,,0.238769,0.00201040
14750,,0.238494,0.00206435
14875,,0.238325,0.00200271
15125,,0.238103,0.00199845
15250,,0.237645,0.00200314
15375,,0.237477,0.00196104
15625,,0.237294,0.00186575
15750,,0.237195,0.00189135
15875,,0.237162,0.00191735
16125,,0.237211,0.00192409
16250,,0.237602,0.00189218
16375,,0.237400,0.00184546
16625,,0.237665,0.00182261
16750,,0.237425,0.00178512
16875,,0.237366,0.00169514
17125,,0.237019,0.00170973
17250,,0.237045,0.00177140
17375,,0.237149,0.00175413
17625,,0.237171,0.00175625
17750,,0.236928,0.00181674
17875,,0.236723,0.00180824
18125,,0.237102,0.00174597
18250,,0.237107,0.00181892
18375,,0.237327,0.00188869
18625,,0.237312,0.00175508
18750,,0.237492,0.00186759
18875,,0.236871,0.00191711
19125,,0.237316,0.00187615
19250,,0.237744,0.00193746
19375,,0.237433,0.00187949
19625,,0.237595,0.00185516
19750,,0.238020,0.00180982
19875,,0.238234,0.00176704
20125,,0.238495,0.00177924
20250,,0.238167,0.00179761
20375,,0.238237,0.00180191
20625,,0.238119,0.00190068
20750,,0.238305,0.00185329
20875,,0.238495,0.00178893
21125,,0.238836,0.00176108
21250,,0.238820,0.00171037
21375,,0.238928,0.00161493
21625,,0.238991,0.00155807
