pH,target_waviness,measured_waviness,mode,note
4.0,0.500,0.545,native,
6.0,0.778,0.746,native,
8.0,1.271,1.343,native,
10.0,1.765,1.854,native,
12.0,2.258,2.350,native,
14.0,2.751,2.711,native,
16.0,3.244,3.377,native,
18.0,3.737,3.807,native,
